店舗名称,エリア,券種,place_name,formatted_address,lat,lng,category
炭火焼鳥あらた,本町,digital,炭火焼鳥 あらた arata,〒820-0042 福岡県飯塚市本町５−１４,33.6387703,130.6865518,バー
（一社）飯塚観光協会,吉原町,digital,一般社団法人飯塚観光協会,〒820-0040 福岡県飯塚市吉原町６−１ あいタウン 2F,33.6417441,130.686434,旅行代理店
花のフジモト,飯塚,digital,花のフジモト,〒820-0041 福岡県飯塚市飯塚１３−２１,33.637059,130.684913,花屋
パンとお菓子の店Fille de ble’,上三緒,digital,パンとお菓子の店Fille de ble´（ﾌｨｰﾕﾄﾞﾌﾞﾚ）,〒820-0013 福岡県飯塚市上三緒445番地4,33.6255108,130.7152129,ベーカリー
オーラッキーズクラブ,川津,digital,【新車中古車販売】オーラッキーズクラブ,〒820-0067 福岡県飯塚市川津７３０,33.6543951,130.6830756,自動車修理
ひよ子本舗吉野堂 ゆめタウン飯塚店,菰田西,digital,ひよ子 ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１,33.6325403,130.6852944,飲食店
かほ兵衛の台所,鶴三緒,digital,ファーマーズマーケット｢かほ兵衛の台所｣,〒820-0014 福岡県飯塚市鶴三緒１１５１−１,33.6273699,130.701004,その他
ヴィタリコ飯塚店,本町,digital,ヴィタリコ飯塚店,〒820-0042 福岡県飯塚市本町７−２４,33.640133,130.6847816,衣料品店
大賀薬局飯塚あいタウン店,吉原町,digital,大賀ドラッグストア 飯塚あいタウン店,〒820-0040 福岡県飯塚市吉原町６−１ アイタウン 2F,33.6417444,130.6864091,ドラッグストア
パブ珈琲園,飯塚,digital,パブコーヒーエン,〒820-0041 福岡県飯塚市飯塚１２−２５,33.6370594,130.6851853,カフェ
ミスタータイヤマンパドック飯塚,上三緒,digital,ミスタータイヤマン パドック飯塚,〒820-0013 福岡県飯塚市上三緒１−６３,33.6188732,130.7195038,自動車修理
焼肉レストラン牛仙,川津,digital,焼肉レストラン 牛仙,〒820-0067 福岡県飯塚市川津７７−２ キュート舞の浦 1F,33.6560576,130.6816713,飲食店
ボンフカヤ ゆめタウン飯塚店,菰田西,digital,ボンフカヤ ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 1F,33.63178440000001,130.6849767,靴店
焼肉のすから,鶴三緒,digital,すから,〒820-0014 福岡県飯塚市鶴三緒１４７６−５,33.626212,130.698,飲食店
熾火ト酒,本町,digital,熾火ト酒,〒820-0042 福岡県飯塚市本町８−１７,33.639039,130.685579,飲食店
